t_ms,ax,ay,az,gx,gy,gz
17799330,-0.7661,0.5913,0.2540,-0.6714,1.2207,-0.5493
17799340,-0.7672,0.5928,0.2566,-0.9155,1.2207,-0.3662
17799348,-0.7686,0.5940,0.2593,-0.6104,0.9155,-0.3662
17799358,-0.7701,0.5913,0.2611,-0.1831,0.1221,-0.4272
17799368,-0.7717,0.5889,0.2610,0.5493,-0.6104,-0.4883
17799377,-0.7723,0.5884,0.2590,0.9155,-1.2207,-0.5493
17799387,-0.7737,0.5916,0.2571,0.4272,-1.2817,-0.2441
17799396,-0.7725,0.5939,0.2567,-0.4883,-0.9766,-0.1831
17799406,-0.7690,0.5914,0.2566,-0.7935,-0.6714,-0.1831
17799416,-0.7682,0.5900,0.2554,-0.7324,-0.3052,-0.2441
17799424,-0.7676,0.5898,0.2561,-0.3052,0.1221,-0.2441
17799434,-0.7667,0.5900,0.2566,-0.1831,0.4883,-0.2441
17799444,-0.7698,0.5912,0.2557,-0.4272,0.8545,-0.1221
17799453,-0.7717,0.5931,0.2572,-0.9766,1.0376,0.1221
17799463,-0.7731,0.5950,0.2594,-0.7324,0.6104,0.0610
17799472,-0.7734,0.5936,0.2606,-0.6104,0.0610,0.0610
17799482,-0.7719,0.5925,0.2601,-0.3052,-0.6104,-0.0610
17799491,-0.7714,0.5925,0.2589,0.6104,-1.1597,-0.2441
17799500,-0.7686,0.5894,0.2587,1.3428,-1.5869,-0.4883
17799510,-0.7665,0.5890,0.2579,1.4038,-1.4648,-0.4883
17799520,-0.7666,0.5940,0.2560,0.7935,-0.9155,-0.3662
17799529,-0.7650,0.5959,0.2540,-0.2441,0.1221,-0.1831
17799539,-0.7648,0.5945,0.2542,-1.2207,1.1597,-0.1221
17799548,-0.7654,0.5931,0.2555,-1.2817,1.6479,-0.1221
17799558,-0.7675,0.5914,0.2568,-0.8545,1.5869,-0.3052
17799567,-0.7711,0.5920,0.2578,-0.9155,1.4648,-0.3052
17799576,-0.7725,0.5914,0.2587,-1.2817,1.2207,-0.4883
17799586,-0.7719,0.5906,0.2601,-0.8545,0.6714,-0.4272
